id,left,top,right,bottom,row_index,col_index
11828,128.530852893000002,35.757696240999998,128.533672893000016,35.755446241000001,115,64
11829,128.530852893000002,35.755446240999994,128.533672893000016,35.753196240999998,116,64
11818,128.530852893000002,35.780196240999999,128.533672893000016,35.777946241000002,105,64
11819,128.530852893000002,35.777946240999995,128.533672893000016,35.775696240999999,106,64
11816,128.530852893000002,35.784696240999999,128.533672893000016,35.782446241000002,103,64
11817,128.530852893000002,35.782446240999995,128.533672893000016,35.780196240999999,104,64
11822,128.530852893000002,35.771196240999998,128.533672893000016,35.768946241000002,109,64
11823,128.530852893000002,35.768946240999995,128.533672893000016,35.766696240999998,110,64
11820,128.530852893000002,35.775696240999999,128.533672893000016,35.773446241000002,107,64
11821,128.530852893000002,35.773446240999995,128.533672893000016,35.771196240999998,108,64
11810,128.530852893000002,35.798196240999999,128.533672893000016,35.795946241000003,97,64
11811,128.530852893000002,35.795946240999996,128.533672893000016,35.793696240999999,98,64
11808,128.530852893000002,35.802696241000000,128.533672893000016,35.800446241000003,95,64
11809,128.530852893000002,35.800446240999996,128.533672893000016,35.798196240999999,96,64
11814,128.530852893000002,35.789196240999999,128.533672893000016,35.786946241000003,101,64
11815,128.530852893000002,35.786946240999995,128.533672893000016,35.784696240999999,102,64
11812,128.530852893000002,35.793696240999999,128.533672893000016,35.791446241000003,99,64
11813,128.530852893000002,35.791446240999996,128.533672893000016,35.789196240999999,100,64
11994,128.533672893000016,35.795946240999996,128.536492893000030,35.793696240999999,98,65
11995,128.533672893000016,35.793696240999999,128.536492893000030,35.791446241000003,99,65
11992,128.533672893000016,35.800446240999996,128.536492893000030,35.798196240999999,96,65
11993,128.533672893000016,35.798196240999999,128.536492893000030,35.795946241000003,97,65
11998,128.533672893000016,35.786946240999995,128.536492893000030,35.784696240999999,102,65
11999,128.533672893000016,35.784696240999999,128.536492893000030,35.782446241000002,103,65
11996,128.533672893000016,35.791446240999996,128.536492893000030,35.789196240999999,100,65
11997,128.533672893000016,35.789196240999999,128.536492893000030,35.786946241000003,101,65
11986,128.533672893000016,35.813946240999996,128.536492893000030,35.811696241000000,90,65
11987,128.533672893000016,35.811696241000000,128.536492893000030,35.809446241000003,91,65
11984,128.533672893000016,35.818446240999997,128.536492893000030,35.816196241000000,88,65
11985,128.533672893000016,35.816196241000000,128.536492893000030,35.813946241000004,89,65
11990,128.533672893000016,35.804946240999996,128.536492893000030,35.802696241000000,94,65
